User_name,Open,Concen,Extra,Agree,Neurot,Open.,Self-transc,Self-enhance.,Conser.,Hedonism.
 ur38361119   ,0.5,0.21,0.18,0.4,0.23,0.2,0.3,0.37,0.23,0.29
 ur63800415   ,,,,,,,,,,
 ur3732980   ,0.59,0.68,0.72,0.93,0.46,0.28,0.18,0.37,0.74,0.5
 ur18850908   ,0.27,0.41,0.98,0.46,0.08,0.85,0.3,0,0.29,0.1
 ur67115437   ,0.17,0.49,0.87,0.19,0.08,0.43,0.27,0.05,0.54,0.3
 ur40999523   ,0,0.02,0.68,0.04,0.3,0.49,0.75,0.02,0.6,0.62
 ur52801438   ,0.17,0.48,0.82,0.47,0.27,0.4,0.49,0.08,0.36,0.44
 ur39318209   ,0.43,0.42,0.55,0.16,0.11,0.41,0.05,0.18,0.58,0.3
 ur57119743   ,0.08,0.22,0.49,0.31,0.12,0.69,0.31,0.09,0.86,0.62
 ur39754972   ,0.16,0.01,0.04,0.16,0.23,0.54,0.65,0.3,0.43,0.74
 ur2898980   ,0.44,0.42,0.94,0.62,0.35,0.06,0.08,0.16,0.53,0.22
 ur45963665   ,0.08,0.19,0.72,0.07,0.13,0.26,0.16,0.18,0.63,0.43
 ur49536021   ,0.8,0.57,0.21,0.13,0.59,0.32,0.4,0.95,0.73,0.74
 ur59177379   ,0.55,0.59,0.7,0.37,0.42,0.34,0.41,0.25,0.32,0.26
 ur57049856   ,0.47,0.52,0.39,0.42,0.68,0.55,0.55,0.8,0.69,0.71
 ur57219309   ,0.78,0.67,0.38,0,0.15,0.04,0.17,0.93,0.31,0.31
 ur34575093   ,0.25,0.41,0.9,0.21,0.13,0.13,0.27,0.25,0.69,0.34
 ur23843983   ,0.25,0.84,0.6,0.03,0,0.1,0.06,0.52,0.68,0.47
 ur13284099   ,0.01,0.16,0.71,0.13,0.04,0.53,0.41,0.1,0.71,0.44
 ur54032399   ,0.71,0.74,0.71,0.89,0.39,0.88,0.42,0.15,0.19,0.16
 ur29348863   ,0.37,0.78,0.93,0.49,0.14,0.16,0.13,0.06,0.27,0.19
 ur2341629   ,0.24,0.61,0.94,0.93,0.33,0.18,0.15,0.06,0.51,0.38
 ur63985866   ,0.28,0.44,0.88,0.03,0.07,0.18,0.26,0.19,0.26,0.25
 ur36744375   ,0.86,0.87,0.63,0.01,0.2,0.05,0.27,0.88,0.18,0.25
 ur20096121   ,0.25,0.37,0.6,0.07,0.27,0.07,0.19,0.14,0.27,0.26
 ur56755005   ,0.16,0.11,0.42,0.69,0.64,0.69,0.66,0.61,0.82,0.86
 ur32529530   ,0.18,0.29,0.95,0.01,0,0.67,0.55,0.04,0.45,0.34
 ur53484605   ,0.39,0.3,0.53,0.33,0.28,0.76,0.53,0.43,0.6,0.74
 ur29128842   ,0.11,0.1,0.1,0.01,0.06,0.45,0.13,0.66,0.87,0.78
 ur53611239   ,0.57,0.27,0.09,0.03,0.64,0.45,0.2,0.95,0.66,0.57
 ur19932701   ,0.22,0.29,0.49,0.35,0.28,0.47,0.14,0.17,0.38,0.41
 ur8235197   ,0.09,0.29,0.76,0.13,0.09,0.36,0.2,0.06,0.41,0.34
 ur23549744   ,0.41,0.38,0.83,0.19,0.29,0.62,0.26,0.16,0.43,0.29
 ur51594256   ,0.46,0.71,0.84,0,0,0.16,0.15,0.29,0.24,0.4
 ur63725459   ,0.05,0.13,0.27,0.17,0.29,0.3,0.26,0.13,0.42,0.58
